Reimbursement Invoices MUST be shipped in the order listed on the RI Packing Slip
Card Name,Set Name,Rarity,Number,Color,Condition,Quantity
"Fblthp, Lost on the Range","Outlaws of Thunder Junction","R","48","Blue","Near Mint","1"
"Laughing Jasper Flint","Outlaws of Thunder Junction","R","215","Black;Red","Near Mint","1"
"Oko, the Ringleader (Showcase)","Outlaws of Thunder Junction","M","296","Blue;Green","Near Mint","1"
"Vraska Joins Up","Outlaws of Thunder Junction","R","236","Black;Green","Near Mint","1"
"Electrodominance","Outlaws of Thunder Junction: Breaking News","R","23","Red","Near Mint","2"
"Ancient Cornucopia","Outlaws of Thunder Junction: The Big Score","M","16","Green","Near Mint","1"
"Anzrag, the Quake-Mole (Showcase)","Murders at Karlov Manor","M","356","Green;Red","Near Mint","1"
"Hunted Bonebrute (Extended Art)","Murders at Karlov Manor","R","400","Black","Near Mint","1"
"Kaya, Spirits' Justice","Murders at Karlov Manor","M","211","Black;White","Near Mint","1"
"Mountain (0275)","Murders at Karlov Manor","L","275","Colorless","Near Mint","1"
"Corpses of the Lost (Extended Art)","The Lost Caverns of Ixalan","R","366","Black","Near Mint","1"
"Deep-Cavern Bat","The Lost Caverns of Ixalan","U","102","Black","Near Mint","1"
"Dinosaur Token (0009)","The Lost Caverns of Ixalan","T","9","Red","Near Mint","1"
"Fungus Token","The Lost Caverns of Ixalan","T","7","Black","Near Mint","1"
"Restless Reef (Borderless)","The Lost Caverns of Ixalan","R","349","Colorless","Near Mint","1"
"Squirming Emergence","The Lost Caverns of Ixalan","R","241","Black;Green","Near Mint","1"
"Forest (0266)","Wilds of Eldraine","L","266","Colorless","Near Mint","1"
"Hylda of the Icy Crown (Extended Art)","Wilds of Eldraine","M","363","Blue;White","Near Mint","2"
"Restless Cottage","Wilds of Eldraine","R","258","Colorless","Near Mint","1"
"Swamp (0264)","Wilds of Eldraine","L","264","Colorless","Near Mint","2"
"Will, Scion of Peace (Borderless)","Wilds of Eldraine","M","302","Blue;White","Near Mint","1"
"Copy Enchantment","Wilds of Eldraine: Enchanting Tales","R","16","Blue","Near Mint","1"
"Defense of the Heart (Anime Borderless)","Wilds of Eldraine: Enchanting Tales","M","80","Green","Near Mint","2"
"Essence of Orthodoxy","March of the Machine","R","323","White","Near Mint","2"
"Faerie Mastermind (Extended Art)","March of the Machine","R","352","Blue","Near Mint","1"
"Surrak and Goreclaw (Extended Art)","March of the Machine","R","380","Green","Near Mint","1"
"Swamp (0287)","March of the Machine","L","287","Colorless","Near Mint","2"
"Wrenn's Resolve","March of the Machine","C","173","Red","Near Mint","2"
"Glissa Sunslayer (Showcase)","Phyrexia: All Will Be One","R","318","Black;Green","Near Mint","1"
"Infectious Bite","Phyrexia: All Will Be One","U","172","Green","Near Mint","2"
"Mite Overseer (Extended Art)","Phyrexia: All Will Be One","R","409","White","Near Mint","1"
"The Mycosynth Gardens (Extended Art)","Phyrexia: All Will Be One","R","402","Colorless","Near Mint","1"
"Drafna, Founder of Lat-Nam","The Brothers' War","R","47","Blue","Near Mint","1"
"Forest (287) - Full Art","The Brothers' War","L","287","Colorless","Near Mint","3"
"Hajar, Loyal Bodyguard","The Brothers' War","R","211","Green;Red","Near Mint","1"
"Defiler of Vigor","Dominaria United","R","160","Green","Near Mint","4"
"Ivy, Gleeful Spellthief","Dominaria United","R","201","Blue;Green","Near Mint","1"
"Molten Tributary","Dominaria United","L","251","Colorless","Near Mint","1"
"Squee, Dubious Monarch (Showcase)","Dominaria United","R","291","Red","Near Mint","3"
"The Raven Man","Dominaria United","R","103","Black","Near Mint","1"
"Mountain (279)","Streets of New Capenna","L","279","Colorless","Near Mint","1"
"Sanctuary Warden (Showcase)","Streets of New Capenna","M","343","White","Near Mint","1"
"Witty Roastmaster","Streets of New Capenna","C","131","Red","Near Mint","5"
"Chandra, Dressed to Kill","Innistrad: Crimson Vow","M","149","Red","Near Mint","1"
"Savior of Ollenbock","Innistrad: Crimson Vow","M","34","White","Near Mint","1"
"Thalia, Guardian of Thraben","Innistrad: Crimson Vow","R","38","White","Near Mint","7"
"Brutal Cathar","Innistrad: Midnight Hunt","R","7","White","Near Mint","1"
"Mountain (275)","Innistrad: Midnight Hunt","L","275","Colorless","Near Mint","1"
"Death-Priest of Myrkul","Adventures in the Forgotten Realms","U","95","Black","Near Mint","1"
"Grand Master of Flowers","Adventures in the Forgotten Realms","M","17","White","Near Mint","1"
"Hive of the Eye Tyrant (Dungeon Module)","Adventures in the Forgotten Realms","R","355","Colorless","Near Mint","3"
"Ecological Appreciation","Strixhaven: School of Mages","M","128","Green","Near Mint","1"
"Gods Willing","Strixhaven: Mystical Archives","R","7","White","Near Mint","1"
"Inquisition of Kozilek","Strixhaven: Mystical Archives","R","31","Black","Near Mint","1"
"Kolvori, God of Kinship","Kaldheim","R","181","Green","Near Mint","1"
"Snow-Covered Island (278)","Kaldheim","L","278","Colorless","Near Mint","1"
"Skyclave Apparition","Zendikar Rising","R","39","White","Near Mint","1"
"Chandra's Incinerator (Showcase)","Core Set 2021","R","302","Red","Near Mint","2"
"Temple of Silence (Extended Art)","Core Set 2021","R","390","Colorless","Near Mint","1"
"Temple of Deceit","Theros Beyond Death","R","245","Colorless","Near Mint","1"
"Brazen Borrower (Showcase)","Throne of Eldraine","M","281","Blue","Near Mint","1"
"Castle Garenbrig","Throne of Eldraine","R","240","Colorless","Near Mint","5"
"Castle Garenbrig (Extended Art)","Throne of Eldraine","R","388","Colorless","Near Mint","1"
"Lavinia, Azorius Renegade","Ravnica Allegiance","R","189","Blue;White","Near Mint","1"
"Chance for Glory","Guilds of Ravnica","M","159","Red;White","Near Mint","1"
"Sarkhan's Unsealing","Core Set 2019","R","155","Red","Near Mint","1"
"Crested Sunmare","Hour of Devastation","M","6","White","Near Mint","1"
"Thalia's Lieutenant","Shadows over Innistrad","R","43","White","Near Mint","1"
"Kothophed, Soul Hoarder","Magic Origins","R","104","Black","Near Mint","2"
"The Chain Veil","Magic 2015 (M15)","M","215","Colorless","Near Mint","1"
"Elixir of Immortality","Magic 2014 (M14)","U","209","Colorless","Near Mint","1"
"Thought Scour","Dark Ascension","C","52","Blue","Near Mint","3"
"Demon's Horn","10th Edition","U","320","Colorless","Near Mint","1"
"Yavimaya Enchantress","10th Edition","U","310","Green","Near Mint","1"
"Soratami Mindsweeper","Betrayers of Kamigawa","U","52","Blue","Near Mint","1"
"Rampant Growth","7th Edition","C","262","Green","Near Mint","1"
"Spreading Algae","Urza's Saga","U","274","Green","Near Mint","1"
"Oath of Scholars","Exodus","R","42","Blue","Near Mint","4"
"Dauthi Trapper","Stronghold","U","","Black","Near Mint","1"
"Lifeforce","Fifth Edition","U","","Green","Near Mint","1"
"Nature's Blessing","Alliances","U","","Green;White","Near Mint","1"
"Spectral Bears","Homelands","U","","Green","Near Mint","1"
"Black Knight","Fourth Edition","U","","Black","Near Mint","1"
"Living Lands","Fourth Edition","R","","Green","Near Mint","1"
"Simulacrum","Revised Edition","U","","Black","Near Mint","1"
"Space Beleren (Borderless)","Unfinity","M","276","Blue;White","Near Mint","1"
"Time Warp","Explorers of Ixalan","M","12","Blue","Near Mint","1"
"Azorius Signet","Ravnica: Clue Edition","C","219","Colorless","Near Mint","1"
"Commander Mustard (Borderless)","Ravnica: Clue Edition","R","6","Red;White","Near Mint","1"
"Portal Manipulator","Ravnica: Clue Edition","U","40","Blue;White","Near Mint","1"
"Senator Peacock (Borderless)","Ravnica: Clue Edition","R","2","Blue","Near Mint","2"
"Suppressor Skyguard","Ravnica: Clue Edition","R","46","Blue;White","Near Mint","2"
"Auntie Blyte, Bad Influence","Jumpstart 2022","M","30","Red","Near Mint","1"
"Hymn of the Wilds","Conspiracy: Take the Crown","M","7","Colorless","Near Mint","1"
"Aboleth Spawn (Extended Art)","Commander Legends: Battle for Baldur's Gate","R","612","Blue","Near Mint","1"
"Nalia de'Arnise (Extended Art)","Commander Legends: Battle for Baldur's Gate","M","643","Black;White","Near Mint","1"
"Bladegriff Prototype (Extended Art)","Commander Legends","R","690","Colorless","Near Mint","1"
"Jungle Basin","Commander Legends","U","484","Colorless","Near Mint","1"
"Scourge of Fleets","Commander Legends","R","403","Blue","Near Mint","1"
"Niv-Mizzet, Parun","Commander: Outlaws of Thunder Junction","R","235","Blue;Red","Near Mint","2"
"Smuggler's Share","Commander: Murders at Karlov Manor","R","84","White","Near Mint","2"
"Black Market Connections","Commander: The Lost Caverns of Ixalan","R","181","Black","Near Mint","1"
"Phyresis Outbreak (Extended Art)","Commander: Phyrexia: All Will Be One","R","50","Black","Near Mint","1"
"Skyhunter Strike Force","Commander: Phyrexia: All Will Be One","R","21","White","Near Mint","1"
"Mishra, Eminent One (Retro Frame)","Commander: The Brothers' War","M","1","Black;Blue;Red","Near Mint","1"
"Crystal Quarry","Commander: Dominaria United","R","206","Colorless","Near Mint","1"
"Iridian Maelstrom (Extended Art)","Commander: Dominaria United","R","88","Black;Blue;Green;Red;White","Near Mint","2"
"Spiteful Repossession","Commander: Streets of New Capenna","R","90","Red","Near Mint","1"
