TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"7688950","Magic","Murders at Karlov Manor","Absolving Lammasu","","2","U","Near Mint Foil","0.03","","1.2300","0.0100","1","1","0.0300",""
"5742410","Magic","Dominaria United","Ajani, Sleeper Agent (371)","","371","M","Damaged Foil","","","","","1","1","0.0000",""
"7839747","Magic","Outlaws of Thunder Junction","Ambush Gigapede","","77","C","Near Mint Foil","0.02","","1.2300","0.0100","1","1","0.0200",""
"7835545","Magic","Outlaws of Thunder Junction","Ankle Biter","","153","C","Near Mint Foil","0.07","","1.2300","0.0100","2","2","0.0700",""
"6654852","Magic","Dominaria Remastered","Arboria (Retro Frame)","","335","R","Near Mint","0.11","","1.2500","0.0300","1","1","0.1100",""
"6810471","Magic","Dominaria Remastered","Arcades Sabboth (Retro Frame)","","355","R","Near Mint","0.10","","1.2500","0.0300","1","1","0.1000",""
"6799544","Magic","Dominaria Remastered","Arcanis the Omnipotent (Retro Frame)","","280","R","Near Mint","0.20","","1.4000","0.1800","1","1","0.2000",""
"7822713","Magic","Outlaws of Thunder Junction","Arid Archway","","252","U","Near Mint Foil","0.74","","1.6200","0.4000","1","1","0.7400",""
"7816145","Magic","Outlaws of Thunder Junction","Armored Armadillo","","3","C","Near Mint Foil","0.06","","1.2300","0.0100","1","1","0.0600",""
"7662289","Magic","Ravnica Remastered","Bird // Angel (0003) Double-Sided Token","","1 // 3","T","Near Mint Foil","0.34","","1.3700","0.1500","1","1","0.3400",""
"7886624","Magic","Outlaws of Thunder Junction","Bird // Plot Double-Sided Token","","7 // 20","T","Near Mint","0.15","","1.2900","0.0700","1","1","0.1500",""
"7662424","Magic","Ravnica Remastered","Bird // Sphinx Double-Sided Token","","1 // 17","T","Near Mint Foil","0.29","0.05","1.2800","0.0600","1","1","0.2900",""
